StockCode,title,description,features,category,tags,attributes,Price,image_url
22167,DIAMANTE OVAL SHAPE WALL MIRROR,A stunning and elegant wall mirror with an oval shape that adds a touch of elegance to any room.,"[""Diamante Oval Shape"", ""Elegant Design""]",Decorative Furniture,"[""Decorative Furniture"", ""Wall Mirrors""]","{""color"": ""Silver"", ""material"": ""Metal"", ""style"": ""Modern""}",9.95,"['https://m.media-amazon.com/images/I/51SoltJcImL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/310PGJpVDdL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71avRuH6kXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71JkbyTzIGL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81Ma5z4rNcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/6145M6EXg5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41isxvRIiRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71OHjU6uVXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61njQDMaPYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Kfl6nOc0L._AC_UL320_.jpg']"
22168,ORGANISER WOOD ANTIQUE WHITE,A beautiful wooden organizer with an antique white finish.,"[""wooden"", ""antique white""]",storage,"[""organizer"", ""antique"", ""white""]","{""color"": ""antique white"", ""material"": ""wood"", ""style"": ""antique""}",8.5,"['https://m.media-amazon.com/images/I/71J-9LsFksL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/7173GClDyOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61MWiccm9KL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71qtizsDq1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51ldgV0HS5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91BodQO6wuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/719eNFAZdwL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61XOo6WznlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81Vvp8iB6CL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61aYyXUZJ+L._AC_UL320_.jpg']"
22169,FAMILY ALBUM WHITE PICTURE FRAME,A beautiful and elegant family album frame made of high-quality white wood.,"[""White color"", ""Elegant design""]",Decorative Frames,"[""family"", ""album"", ""frame""]","{""color"": ""white"", ""material"": ""wood"", ""style"": ""elegant""}",8.5,"['https://m.media-amazon.com/images/I/710AQMEaW9L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71yqF7IhlkL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71fdaW3pYKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61hhsLhQqFL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/610FzpB3wnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51lxzN+IzEL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81xwMxMphwL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71aMQ3vehtL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/710uHZi8fZS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61rgzXnTI5L._AC_UL320_.jpg']"
22170,Picture Frame Wood Triple Portrait,"A high-quality picture frame made of wood, perfect for displaying portraits.","[""Triple portrait design"", ""Wood material"", ""High quality""]",Home Decor,"[""wood"", ""portrait"", ""frame""]","{""color"": ""Wooden"", ""material"": ""Wood"", ""style"": ""Traditional""}",6.75,"['https://m.media-amazon.com/images/I/51wXD3K+fnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51cW4b+nNPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/612bWdCVuzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61HzIIngFhL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61YXwf5GJUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71V5bsvQuVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71dZxpUhc0S._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71w2otgTUNL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81oXQvCN4hL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81DnQyv+6JL._AC_UL320_.jpg']"
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,A beautiful and functional photo shelf with antique white finish.,"[""Antique White Finish"", ""Three Hooks""]",Home Decor,"[""Decorative"", ""Photo Storage"", ""Vintage""]","{""color"": ""Antique White"", ""material"": ""Wood"", ""style"": ""Vintage""}",8.5,"['https://m.media-amazon.com/images/I/81xWLIBNOpL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/711o6sTETOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41vmFHMWJyL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71XX2R65E9L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61bHH3u7zRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51Id37s-o5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/513VTUcDtLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61xx9mqL9+L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41L25qkVqJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51yFkqwLKAS._AC_UL320_.jpg']"
22172,METAL SHELF WITH RAIL,A sturdy metal shelf with rail for storing items neatly.,"[""Sturdy construction"", ""Rail for stability""]",Storage Solutions,"[""Metal"", ""Shelf"", ""Rack"", ""Stable""]","{""color"": ""Silver"", ""material"": ""Steel"", ""style"": ""Modern""}",8.5,"['https://m.media-amazon.com/images/I/41qJW8JdRvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71b+SzZj6HL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61GGW3nrn9L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81y8tJzNgaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71rtl+Zf2aL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/7175LrPbL1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81aXQoNp+AL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71CDATyK+mL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81zO0yE5ORL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51hMdwv9ARL._AC_UL320_.jpg']"
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,A beautiful and functional metal hanger for French chateau style decor.,"[""French chateau style design"", ""Metal construction for durability""]",Decorative Hardware,"[""French chateau"", ""decorative hardware""]","{""color"": ""Silver"", ""material"": ""Metal"", ""style"": ""French chateau""}",6.04,"['https://m.media-amazon.com/images/I/71bze1EM6OL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51hISeeenVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41YDqP0AkHL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/716LP3nzV0L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61owVM7A8jL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51bsAMSrihL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61agQENqNYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51bsAMSrihL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81Z9Hi+4ViL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51hJUJ8jIZL._AC_UL320_.jpg']"
22174,Photo Cube,A unique and versatile photo cube that allows you to display multiple photos at once.,"[""Unique design"", ""Versatile for displaying multiple photos""]",Home Decor,"[""Decorative"", ""Photography"", ""Storage""]","{""color"": ""Various colors available"", ""material"": ""Cardboard"", ""style"": ""Modern""}",1.65,"['https://m.media-amazon.com/images/I/81x84bbhcCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81rAB96y3SL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+h3SVxMaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/813tW8AmrnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61v1Y6vSz2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61HZaegcQOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/813tW8AmrnL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71rlnpDCo1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71VPbnWKzWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71gBKCVcd+L._AC_UL320_.jpg']"
22175,PINK OWL SOFT TOY,"A soft, pink owl toy perfect for children's playtime.","[""Soft"", ""Pink"", ""Owl""]",Toys,"[""toys"", ""soft toys"", ""owl""]","{""color"": ""pink"", ""material"": ""soft"", ""style"": ""toy""}",2.95,"['https://m.media-amazon.com/images/I/71Ddoa65NuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61hEUEBen8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Sdc1gbVDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61YP0SS6Z6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61FvuCHYHUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61dQ-06+veL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/612-NnCMoQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81S00b+-XML._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/41H3h3MrJTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/513NwwpIBqL._AC_UL320_.jpg']"
22176,BLUE OWL SOFT TOY,"A soft, cuddly owl toy for children.","[""Soft"", ""Cuddly"", ""Owl""]",Toys,"[""toy"", ""owl"", ""soft""]","{""color"": ""Blue"", ""material"": ""Polyester"", ""style"": ""Plush""}",2.95,"['https://m.media-amazon.com/images/I/71Kt+IH33AL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81S00b+-XML._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71HVFqmlr-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71c6MiaKiBL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31i-NP2zBML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71XfvXSIJfL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/716R+Iir0BL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71EnwVKEW7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61aM9YNxSOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/716R+Iir0BL._AC_UL320_.jpg']"
22177,5 HOOK BLACKBOARD ORGANISER,A versatile blackboard organizer with five hooks for hanging items.,"[""blackboard"", ""hooks""]",Office Supplies,"[""Organizer"", ""Blackboard"", ""Hanging""]","{""color"": ""Black"", ""material"": ""Metal"", ""style"": ""Simple""}",21.7,"['https://m.media-amazon.com/images/I/71F3tsVQcvL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61+ndafxS1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61t3re5iRnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31qxuQVw3EL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/618lVfREqJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51pMHdJ7pvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61f5wS0RijL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61lz1iJiroL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61lz1iJiroL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61NDvWGb2aL._AC_UL320_.jpg']"
22178,VICTORIAN GLASS HANGING T-LIGHT,A beautiful Victorian glass hanging t-light with a unique design and a vintage feel.,"[""Victorian style"", ""Glass material"", ""Hanging feature""]",Lamps,"[""vintage"", ""glass"", ""lamps""]","{""color"": ""White"", ""material"": ""Crystal"", ""style"": ""Victorian""}",1.25,"['https://m.media-amazon.com/images/I/71M6V+aNCOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/715DvhxTHUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91XVP+IrtcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81fsbwaxQYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71nX31dpbDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71VUxyT78tL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71vpLyF3LuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81fHPwYuWLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/614VPX6oVUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/612OVsryRwL._AC_UL320_.jpg']"
22179,SET 10 LIGHTS NIGHT OWL,A set of ten unique night owl lights that come with different colors and styles to create a stunning display.,"[""unique design"", ""various color options"", ""stylish appearance""]",Decorative Lighting,"[""night owl"", ""decorative lighting"", ""unique designs""]","{""color"": [""red"", ""green"", ""blue"", ""yellow"", ""purple""], ""material"": [""plastic"", ""metal"", ""glass""], ""style"": [""modern"", ""rustic"", ""futuristic""]}",6.75,"['https://m.media-amazon.com/images/I/51wePGi0hbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/719xXXhkHDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61wS-QUX0JL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71R+jYLkPbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61OuspnCqgL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71DGc1uUiZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61U27TfsMvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61BVxF93tsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71SfNY-kT3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61hybUyhaDL._AC_UL320_.jpg']"
22180,RETRO SPOT LAMP,"A vintage-inspired spot lamp with a retro design and a unique, colorful shade.","[""vintage-inspired"", ""retro design"", ""unique color""]",Lamps,"[""retro"", ""lamps"", ""vintage""]","{""color"": ""red"", ""material"": ""glass"", ""style"": ""modern""}",9.95,"['https://m.media-amazon.com/images/I/51ywhI8gSuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/512dtdJXm0L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/614bxPo91iL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/7124+V9pKLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51JpmAsZUSL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/811blw4GKOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Hk92F51VL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61mC8pfz2zL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61fe8ZPibtL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51VCEnBm-NL._AC_UL320_.jpg']"
22184,CAKE STAND VICTORIAN FILIGREE LARGE,A beautiful Victorian filigree cake stand with large capacity for serving cakes and other desserts.,"[""Victorian filigree design"", ""Large capacity""]",Cakes & Desserts,"[""cake stand"", ""large capacity"", ""victorian design""]","{""color"": ""Silver"", ""material"": ""Stainless Steel"", ""style"": ""Victorian""}",8.5,"['https://m.media-amazon.com/images/I/51bV6izx3NL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/419bRIvREhL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41FPELRqs+L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/417szPim1VL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71h+woyHAZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51mD6skmC2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71hw-llSzVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51w2X6b2uAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/415LdjOhEGL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61cHdxI8RrL._AC_UL320_.jpg']"
22185,SLATE TILE NATURAL HANGING,A natural slate tile hanging option for your home or business.,"[""Natural Slate"", ""Hanging Option""]",Tiles,"[""Natural"", ""Slate"", ""Hanging Tile""]","{""color"": ""Naturally Colored"", ""material"": ""Natural Slate"", ""style"": ""Hanging""}",1.65,"['https://m.media-amazon.com/images/I/61pik8RlI5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61V8Y1Y0e4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61J1WK0hqbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61oPJ96eKsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/710O5HwEkOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61vAwaG6bfL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61uXFWG2daL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31rifkYbtCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31PaBn1-1uL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61-8kymArkL._AC_UL320_.jpg']"
22186,RED STAR CARD HOLDER,A stylish and functional card holder designed for the RED STAR brand.,"[""Red star logo on front"", ""Card slots for multiple cards""]",Accessories,"[""red"", ""star"", ""cardholder""]","{""color"": ""Red"", ""material"": ""Plastic"", ""style"": ""Minimalist""}",2.95,"['https://m.media-amazon.com/images/I/71oYAU1QhmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61VC1RoGEXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81tzcxEQUbL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71p-DhkDkjL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71vF3vscgiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51ZcGpn9dWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/5184v9sNcAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91AwOFiTPLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/714bSH9IYnL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71rhjQNHBcL._AC_UL320_.jpg']"
22187,GREEN CHRISTMAS TREE CARD HOLDER,A beautifully designed card holder made of high-quality materials that is perfect for storing Christmas cards during the festive season.,"[""Beautiful design"", ""High-quality materials"", ""Perfect for storing Christmas cards""]",Decorative Accessories,"[""Christmas"", ""Decorative"", ""Card Holder""]","{""color"": ""Green"", ""material"": ""Plastic"", ""style"": ""Simple""}",4.25,"['https://m.media-amazon.com/images/I/71eMZ9kuxvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81kOOCwjFZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51Nd8xC3g3L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51hIzxwmzQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81ty6JWB68L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61fX99WEezL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71M-ifBLjYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71NxzfkwFZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81YzDGKV1FL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71hXwAIt+BL._AC_UL320_.jpg']"
22188,BLACK HEART CARD HOLDER,A stylish and elegant card holder made from high-quality materials.,"[""Stylish design"", ""Elegant appearance"", ""High-quality materials""]",Accessories,"[""Card Holder"", ""Elegant"", ""Stylish""]","{""color"": ""Black"", ""material"": ""Leather"", ""style"": ""Classic""}",8.65,"['https://m.media-amazon.com/images/I/51fNGzlfAiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71XPgBgczzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71jWOAIYzLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71YovjTTmmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71HcPRpiBbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81mgYVtandL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Kq4DvRrYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/618AHw34a4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61HPsFos2IL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31YRHXD+wZL._AC_UL320_.jpg']"
22189,CREAM HEART CARD HOLDER,"A beautiful cream-colored heart-shaped card holder with a soft, smooth finish.","[""heart shape"", ""cream color"", ""card holder""]",Stationery,"[""heart"", ""card holder"", ""creams""]","{""color"": ""Cream"", ""material"": ""Cardboard"", ""style"": ""Heart""}",3.95,"['https://m.media-amazon.com/images/I/714bSH9IYnL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81vxQEtnvAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/6159VFMpA-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/714bSH9IYnL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61lphDPiS3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/616JGIrG1mL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41VsNjT0wNL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51TFKkRZScL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81ozVpVY7DL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81jCMLX88fL._AC_UL320_.jpg']"
22190,LOCAL CAFE MUG,"A high-quality, locally sourced ceramic mug designed for everyday use.","[""High-quality ceramic material"", ""Stylish and functional design"", ""Eco-friendly""]",Kitchen & Dining,"[""Ceramic"", ""Mug"", ""Local""]","{""color"": ""White"", ""material"": ""ceramic"", ""style"": ""functional""}",2.1,"['https://m.media-amazon.com/images/I/61pTUX656BL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Ai1DL-3NL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71joRkI5xSL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51faXrq-8TL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51OWIKIpRmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61H4nQZyAbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/619XOyp2kmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41pf4uVZTLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61b4Jvw4+gL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ikJ5wZuGL._AC_UL320_.jpg']"
22191,Eau De Nil Diner Wall Clock,A beautiful and functional wall clock that adds a touch of elegance to any dining room or kitchen setting.,"[""Dining Room or Kitchen Setting"", ""Elegant Design"", ""Wall-mounted""]",Decorative Furniture,"[""Dining Room"", ""Kitchen"", ""Decorative Furniture""]","{""color"": ""Silver"", ""material"": ""Metal"", ""style"": ""Modern""}",8.5,"['https://m.media-amazon.com/images/I/81FBcsId+NL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61853-UZ5IL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/412WCIGzs9L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71sR++l9F5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41bcpfcpASL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61XD615sfQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51VdNQ6OtJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/710k6v1U5IL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51r7T8Gk5ZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61aNJuRAdHL._AC_UL320_.jpg']"
22192,BLUE DINER WALL CLOCK,A stylish and functional wall clock that adds a touch of elegance to any dining room or kitchen setting.,"[""Durable metal construction"", ""Water-resistant design"", ""Easy-to-read digital display""]",Home & Garden,"[""clocks"", ""dining room decor"", ""kitchen decor""]","{""color"": ""Silver"", ""material"": ""Metal"", ""style"": ""Modern""}",8.5,"['https://m.media-amazon.com/images/I/71R+rnl6gpL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61gr1FUyRnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51CxUZF9N+L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61mMI9QDFHL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81clCeyWcaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/713K92lv4wL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71pqrvv3h-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Iy2xtSnlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71X0dXNqjXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/710-V9zi7lL._AC_UL320_.jpg']"
22193,RED DINER WALL CLOCK,A stylish and functional wall clock with a red color.,"[""Red color"", ""Diner design""]",Decorative Furniture,"[""wall clock"", ""red"", ""dining room""]","{""color"": ""Red"", ""material"": ""Metal"", ""style"": ""Diner""}",17.35,"['https://m.media-amazon.com/images/I/71Adl6GFWtL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71lr5oHPIoL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71dQBTZzzUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61j0eYzVO5L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61j0eYzVO5L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61vg5HG-ZxL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81MvKVKewZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71zYOqw0tEL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71sbnWgOepL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/515bqu3-KRL._AC_UL320_.jpg']"
22194,BLACK DINER WALL CLOCK,A sleek and stylish black wall clock with a vintage diner theme.,"[""Sleek design"", ""Vintage diner theme"", ""Black color""]",Decorative Clocks,"[""Diner"", ""Vintage"", ""Decorative""]","{""color"": ""black"", ""material"": ""metal"", ""style"": ""vintage""}",8.5,"['https://m.media-amazon.com/images/I/71KZtN8y5UL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71tnRJzGIRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61V7MnxukYS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71dNqgjXNzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51hY-ye8liL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/711KZ2KfEpL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61j0eYzVO5L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71jAcf0xyzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71yJSFEqvZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/511+gNJRYhL._AC_UL320_.jpg']"
